case,attempt,expected,exit_code,decision_correct,state_correct,pre_device,pre_inode,post_device,post_inode,pre_hash,post_hash,hardlink_device,hardlink_inode,hardlink_type,audit_evidence
direct_write,85,deny,13,1,1,37,197597,37,197597,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197597,sentinelpath_protected_t,bounded_avc_log
direct_write,86,deny,13,1,1,37,197607,37,197607,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197607,sentinelpath_protected_t,bounded_avc_log
direct_write,87,deny,13,1,1,37,197623,37,197623,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197623,sentinelpath_protected_t,bounded_avc_log
direct_write,88,deny,13,1,1,37,197638,37,197638,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197638,sentinelpath_protected_t,bounded_avc_log
direct_write,89,deny,13,1,1,37,197652,37,197652,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197652,sentinelpath_protected_t,bounded_avc_log
direct_write,90,deny,13,1,1,37,197662,37,197662,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197662,sentinelpath_protected_t,bounded_avc_log
direct_write,91,deny,13,1,1,37,197679,37,197679,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197679,sentinelpath_protected_t,bounded_avc_log
direct_write,92,deny,13,1,1,37,197694,37,197694,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197694,sentinelpath_protected_t,bounded_avc_log
direct_write,93,deny,13,1,1,37,197707,37,197707,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197707,sentinelpath_protected_t,bounded_avc_log
direct_write,94,deny,13,1,1,37,197721,37,197721,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197721,sentinelpath_protected_t,bounded_avc_log
